Area Number,Baseline,Dislike roads,Dislike camps,Dislike picnic,Dislike gates,Dislike all,Like border,Like dams,Like water,Like all
1,1,0.5,0.5,0.5,0.5,0.0625,0.9148317239973698,0.7559453471127708,0.7487527539129933,0.5178095398825306
2,1,0.5,0.5,0.5,0.5,0.0625,0.9313168121748507,0.7758270150705938,0.7680672479997372,0.5549598796402108
3,1,0.5,0.5,0.5,0.5,0.0625,0.9478019003523268,0.7956855836011163,0.7862000368696815,0.5929145725279888
4,1,0.5,0.5,0.5,0.5,0.0625,0.9642869885298028,0.815513593116802,0.8028248316378597,0.6313327343909592
5,1,0.5,0.5,0.5,0.5,0.0625,0.9807720767072836,0.835300006372413,0.8175289891441846,0.6697515677076731
6,1,0.5,0.5,0.5,0.5,0.0625,0.9972571648847645,0.8550277906728962,0.8298139471435713,0.7075679060204577
7,1,0.5,0.5,0.5,0.5,0.0625,0.986257746937757,0.8746692573490571,0.8391245345897644,0.7238702184472803
8,1,0.5,0.5,0.5,0.5,0.0625,0.9697726587602771,0.8941763323745962,0.8449240890561273,0.7326740305591929
9,1,0.5,0.5,0.5,0.5,0.0625,0.9532875705827977,0.913458089887345,0.8521623301196455,0.7420529384836262
10,1,0.5,0.5,0.5,0.5,0.0625,0.93680248240532,0.9323216742065653,0.8765693244049979,0.7655967513581561
11,1,0.5,0.5,0.5,0.5,0.0625,0.9203173942278389,0.9502887401240205,0.9006808844178359,0.7877060105851869
12,1,0.5,0.5,0.5,0.5,0.0625,0.9038323060503575,0.9659109557964396,0.9242145016364722,0.8068591551400588
13,1,0.5,0.5,0.5,0.5,0.0625,0.8873472178728806,0.9744477689630108,0.9464033881257943,0.8183299458765144
14,1,0.5,0.5,0.5,0.5,0.0625,0.8708621296954033,0.9692791587481255,0.9646198947630188,0.8142438644546096
15,1,0.5,0.5,0.5,0.5,0.0625,0.8543770415179281,0.9548931971485644,0.9703199243807247,0.7916246667338024
16,1,0.5,0.5,0.5,0.5,0.0625,0.8378919533404461,0.9373463708973444,0.9580469079691307,0.7524452337212639
17,1,0.5,0.5,0.5,0.5,0.0625,0.8214068651629696,0.9186591688265534,0.9376364130831569,0.7075338251184162
18,1,0.5,0.5,0.5,0.5,0.0625,0.8049217769854877,0.8994655064555239,0.9147452522417527,0.6622749898034526
19,1,0.5,0.5,0.5,0.5,0.0625,0.7884366888080098,0.8800081754097454,0.8909242141559071,0.6181505996144597
20,1,0.5,0.5,0.5,0.5,0.0625,0.7719516006305254,0.8603973798786193,0.890870201172734,0.5917027444553133
21,1,0.5,0.5,0.5,0.5,0.0625,0.7554665124530487,0.8406897833752996,0.8947020821260396,0.5682369044294554
22,1,0.5,0.48025843960486536,0.5,0.5,0.06003230495060817,0.7389814242755696,0.8209173411598313,0.8926874190735175,0.5415422757960688
23,1,0.5,0.43181943885225926,0.5,0.5,0.05397742985653241,0.7226394409659942,0.8010993909674504,0.8851334315755162,0.5124090685433184
24,1,0.5,0.38742791165537005,0.5,0.5,0.048428488956921256,0.7081287616760044,0.7813166600344228,0.8730249352899249,0.48302094949838686
25,1,0.4494078025778375,0.3486333972650886,0.5,0.5,0.03916964224253743,0.6936180823860122,0.7998355375995412,0.8594308609629124,0.47679538978202973
26,1,0.34950624007133885,0.3174942592355916,0.5,0.5,0.027741556197416643,0.6791074030960226,0.8180406066243613,0.8585198045034261,0.47693988750790545
27,1,0.2496158155955835,0.29643289899488845,0.5,0.5,0.018498584962993076,0.6645967238060305,0.8358274393596936,0.8771224189747056,0.4872311342813581
28,1,0.1497253911198223,0.2876713794687814,0.5,0.5,0.010767927451235528,0.6500860445160376,0.8530440933587238,0.8961408877532968,0.4969567757564935
29,1,0.04983496664407783,0.2923177749032956,0.5,0.5,0.0036419116404441967,0.635575365226043,0.8694647659582928,0.912110691920341,0.5040418416965536
30,1,0.04984615953354049,0.3097693343173049,0.5,0.5,0.003860202914244755,0.6210646859360588,0.8847487260118543,0.9231082205124247,0.5072352187266231
31,1,0.14920269785885631,0.33804866431084163,0.5,0.5,0.012609443180690112,0.6065542167347335,0.8983817684396369,0.9268552050326766,0.5050593893676969
32,1,0.2480988480975842,0.37471223412283294,0.5,0.5,0.023241418413486783,0.5920459117297264,0.9096137520691245,0.9222955837235987,0.49668670273865534
33,1,0.3394393352629756,0.41755732224481934,0.5,0.5,0.035433844974242394,0.5775376067247162,0.9201825010445759,0.9106927125767222,0.4839785346283156
34,1,0.36661441356540647,0.4648779154995667,0.5,0.5,0.042607736092595556,0.5630293017197086,0.9401102018701317,0.8952453180325288,0.4738619326835103
35,1,0.3903881635061378,0.5,0.5,0.5,0.048798520438267226,0.5485209967147011,0.9599657309224504,0.8954761072339702,0.47152311645850253
36,1,0.38786550384240404,0.5,0.5,0.5,0.048483187980300504,0.5488358845101953,0.9795379013512646,0.8898775911822623,0.4784031322846039
37,1,0.384051075255799,0.5,0.5,0.5,0.04800638440697488,0.5630761517142151,0.9941133828349276,0.8792579373677841,0.4921747752970939
38,1,0.3986176486716829,0.5,0.5,0.5,0.049827206083960365,0.577139036027709,0.9787724932649795,0.8647951685273797,0.4885122516615263
39,1,0.37771229870847256,0.5,0.5,0.5,0.04721403733855907,0.5916294638669941,0.9591764550446371,0.8735269578832479,0.49570650277274664
40,1,0.34711339851149603,0.5,0.5,0.5,0.043389174813937004,0.6078519566715782,0.9393162575045046,0.8976121259708539,0.5125053095193229
41,1,0.3373461315845858,0.5,0.5,0.5,0.04216826644807323,0.6240355913831525,0.9193869031496931,0.921125903402008,0.5284777025591018
42,1,0.3482312291428652,0.5,0.5,0.5,0.04352890364285815,0.640175124869784,0.899429496549264,0.9433522332294353,0.5431750372329949
43,1,0.3448258411042384,0.5,0.5,0.5,0.0431032301380298,0.6562643449772902,0.8794579702142344,0.9619629674391587,0.5552035726265705
44,1,0.3328733055026179,0.5,0.5,0.5,0.04160916318782724,0.6722958409466472,0.859478344283135,0.9694277542209111,0.5601583475752255
45,1,0.33403199769214753,0.5,0.5,0.5,0.04175399971151844,0.6882607070910177,0.8394936434095321,0.9591036850325109,0.5541609868039856
46,1,0.35807274013509194,0.5,0.5,0.5,0.04475909251688649,0.704148156704279,0.8195055533084609,0.9394991327015704,0.5421410981449807
47,1,0.40169046429611094,0.5,0.5,0.5,0.05021130803701387,0.7199450140148973,0.7995150876823386,0.9169445889191769,0.5277996332225227
48,1,0.4431348754098252,0.5,0.5,0.5,0.05539185942622815,0.735635038773452,0.7795228926905176,0.8932945752281303,0.5122547300777596
49,1,0.47520732501516516,0.5,0.5,0.5,0.059400915626895645,0.75119801884016,0.7814611614335856,0.8691417024346964,0.5102140581525956
50,1,0.5,0.5,0.5,0.5,0.0625,0.766608538096678,0.7998084871356455,0.8447204443346441,0.517931905978043
51,1,0.5,0.5,0.5,0.5,0.0625,0.7818342861372833,0.8178076300064008,0.8201400912555168,0.5243894095291293
52,1,0.5,0.5,0.5,0.5,0.0625,0.7968337171756892,0.8353443667989288,0.7954579917486031,0.529481146052626
53,1,0.5,0.5,0.5,0.5,0.0625,0.8115527824465983,0.8522539496101281,0.7707070007491298,0.53305877580754
54,1,0.5,0.5,0.5,0.5,0.0625,0.8259203495920706,0.8682945966682794,0.7459072494709846,0.5349215485982817
55,1,0.5,0.5,0.5,0.5,0.0625,0.8398417934533737,0.88310803651349,0.7210717435659432,0.5347980279451393
56,1,0.5,0.5,0.5,0.5,0.0625,0.8531901463869941,0.8961676881279628,0.696209251945873,0.5323225972900997
57,1,0.5,0.5,0.5,0.5,0.0625,0.8657973041005324,0.9067338922777725,0.6713258985419908,0.5270228925250295
58,1,0.5,0.5,0.5,0.5,0.0625,0.8780344465182381,0.9138838882054027,0.6464260878752872,0.5187062130261793
59,1,0.5,0.5,0.5,0.5,0.0625,0.8902715889359243,0.9167329442601673,0.6215130679916272,0.5072424801181556
60,1,0.5,0.5,0.5,0.5,0.0625,0.9025087313536198,0.9148482505608806,0.5965892861275822,0.4925790353810912
61,1,0.5,0.5,0.5,0.5,0.0625,0.914745873771307,0.9085219245201184,0.571656620883442,0.47508477098117385
62,1,0.5,0.5,0.5,0.5,0.0625,0.9268024105023913,0.8985817760238906,0.5467165381365239,0.45530977332224853
63,1,0.5,0.5,0.5,0.5,0.0625,0.9393991779030758,0.8859689778374801,0.521770198372288,0.4342581334007257
64,1,0.5,0.5,0.5,0.5,0.0625,0.9515157395172911,0.8714679344428342,0.5,0.4146077280534898
65,1,0.5,0.5,0.5,0.5,0.0625,0.9636292933054584,0.8556465804445428,0.5,0.41226305481650344
66,1,0.5,0.5,0.5,0.5,0.0625,0.9800543615041889,0.8388934278239544,0.5,0.411080581388033
67,1,0.5,0.5,0.5,0.5,0.0625,0.9965102285108127,0.8214706033750252,0.5,0.40930192934208076
68,1,0.5,0.5,0.5,0.5,0.0625,0.9870339044825627,0.803556208242052,0.5,0.3965686108461779
69,1,0.5,0.5,0.5,0.5,0.0625,0.9705780374759421,0.7852732406494228,0.5,0.381084480395945
70,1,0.5,0.5,0.5,0.5,0.0625,0.9541221704693171,0.7667083391071098,0.5,0.3657667123129004
71,1,0.5,0.5,0.5,0.5,0.0625,0.9376560847185873,0.7479237875103548,0.5,0.35064764513242797
72,1,0.5,0.5,0.5,0.5,0.0625,0.9211810229403413,0.7289652517405066,0.5,0.3357544781431417
73,1,0.5,0.5,0.5,0.5,0.0625,0.9047059611620907,0.7098668363922298,0.5,0.3211103792576624
74,1,0.5,0.5,0.5,0.5,0.0625,0.8907767015427053,0.6906544480907891,0.5,0.30760944558805536
75,1,0.5,0.5,0.5,0.5,0.0625,0.8809329774879163,0.6713480741772858,0.5,0.29570632895788745
76,1,0.5,0.5,0.5,0.5,0.0625,0.8711042950974492,0.651963355078897,0.5,0.2839640394276853
77,1,0.5,0.5,0.5,0.5,0.0625,0.861514330329129,0.6325126885606793,0.5,0.2724593726550153
78,1,0.5,0.5,0.5,0.5,0.0625,0.9170003889737808,0.7671943277115847,0.7631646923847548,0.5368997141318772
79,1,0.5,0.5,0.5,0.5,0.0625,0.9335386180460217,0.7776247720902283,0.78376266345213,0.5689668272473983
80,1,0.5,0.5,0.5,0.5,0.0625,0.9500768471182648,0.7971992703238666,0.8033373230594589,0.6084481458045108
